date,product_id,units_sold,unit_price,stock_on_hand,reorder_point,is_promotion,discount_pct,month,supplier_lead_days,day,quarter,is_weekend,lag_1,lag_7,rolling_mean_7,product_category_Beauty,product_category_Electronics,product_category_Home,product_category_Sports,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6
2022-01-26,P038,16.0,12774.65,200,52,0,0.0,1,4,26,1,0,15.0,10.0,20.428571428571427,False,True,False,False,False,True,False,False,False,False
2022-01-27,P033,23.0,9413.85,325,74,0,0.0,1,13,27,1,0,30.0,17.0,20.142857142857142,False,True,False,False,False,False,True,False,False,False
2022-01-27,P024,12.0,2801.5,208,58,0,0.0,1,2,27,1,0,10.0,15.0,20.428571428571427,False,True,False,False,False,False,True,False,False,False
2022-01-28,P011,13.0,6603.98,75,27,0,0.0,1,4,28,1,0,17.0,9.0,17.142857142857142,False,True,False,False,False,False,False,True,False,False
2022-01-29,P007,21.0,14353.74,146,60,0,0.0,1,14,29,1,1,17.0,6.0,15.428571428571429,False,True,False,False,False,False,False,False,True,False
2022-01-29,P038,24.0,13529.14,176,52,0,0.0,1,4,29,1,1,16.0,23.0,21.285714285714285,False,True,False,False,False,False,False,False,True,False
2022-01-30,P002,32.0,5574.19,169,55,0,0.0,1,9,30,1,1,23.0,29.0,22.428571428571427,False,False,False,True,False,False,False,False,False,True
2022-01-30,P046,25.0,957.04,124,56,0,0.0,1,2,30,1,1,18.0,19.0,20.714285714285715,False,False,True,False,False,False,False,False,False,True
2022-01-30,P011,13.0,6703.25,49,27,0,0.0,1,4,30,1,1,13.0,9.0,17.714285714285715,False,True,False,False,False,False,False,False,False,True
2022-01-31,P011,15.0,6617.07,34,27,0,0.0,1,4,31,1,0,13.0,9.0,18.285714285714285,False,True,False,False,False,False,False,False,False,False
2022-01-31,P033,12.0,9237.46,313,74,0,0.0,1,13,31,1,0,23.0,19.0,21.0,False,True,False,False,False,False,False,False,False,False
2022-02-01,P036,34.0,980.3,25,22,0,0.0,2,8,1,1,0,32.0,38.0,33.0,True,False,False,False,True,False,False,False,False,False
2022-02-01,P007,14.0,14394.57,132,60,0,0.0,2,14,1,1,0,21.0,21.0,17.571428571428573,False,True,False,False,True,False,False,False,False,False
2022-02-01,P029,15.0,1325.64,81,41,0,0.0,2,13,1,1,0,34.0,31.0,30.857142857142858,False,False,False,False,True,False,False,False,False,False
2022-02-02,P046,16.0,953.33,108,56,0,0.0,2,2,2,1,0,25.0,20.0,21.571428571428573,False,False,True,False,False,True,False,False,False,False
2022-02-02,P014,24.0,22885.77,47,28,0,0.0,2,9,2,1,0,14.0,17.0,15.857142857142858,False,True,False,False,False,True,False,False,False,False
